ID,GENDER,AGE,COUNTRY,EDUCATION,OPENMINDEDNESS_Z,CONSCIENTIOUSNESS_Z,EXTRAVERSION_Z,AGREEABLENESS_Z,NEGATIVEEMOTIONALITY_Z,NUM_SESSIONS,SESSION1,SESSION2,SESSION3,SESSION4,SESSION5
2,F,29,Spain,Masters_degree,-1.683690301,1.292321023,-0.231236643,1.160066028,-0.3124237039999999,1,002003,,,,
3,F,28,Peru,Secondary,-0.263907733,0.616151853,0.243083386,0.982577987,-0.437972074,2,003005,002003,,,
4,M,31,Spain,Doctorate,-0.421661351,-0.330484984,-0.705556672,0.272625821,-0.3124237039999999,2,004115,004096,,,
5,F,28,Spain,Secondary,-0.894922208,-0.87142032,-1.812303406,-1.502254595,1.194156738,3,005013,003005,005134,,
6,M,32,Pakistan,Doctorate,-0.646153846,0.415584416,-0.6,-0.020833333,0.111111111,2,006007,006153,,,
7,F,32,Hungary,Masters_degree,0.892307692,1.714285714,0.8583333329999999,-1.583333333,1.7394636019999998,1,006007,,,,
9,F,33,Spain,Bachelor/uni_degree,-1.210429445,1.56278869,-1.812303406,0.450113862,0.189769776,3,,009106,009167,,
10,F,22,Peru,Bachelor/uni_degree,0.524860361,0.345684185,-1.337983377,-1.502254595,1.947446959,2,010011,010034,,,
11,M,22,Spain,Vocational/Training,0.68261398,-0.330484984,1.191723444,0.095137779,0.691963257,2,010011,011034,,,
13,M,30,Ecuador,Masters_degree,1.94464293,0.210450351,-1.179876701,-0.437326346,0.315318147,2,013041,005013,,,
15,M,22,Spain,Bachelor/uni_degree,-3.10347287,-0.0600173159999999,0.717403415,-0.792302429,-0.563520445,2,015126,015133,,,
17,M,22,Spain,Masters_degree,1.155874836,0.886619521,-0.547449995,0.6276019039999999,-1.316810666,4,017150,017149,,017027,
18,F,25,Nicaragua,Masters_degree,-0.57941497,1.021853355,0.401190063,-0.0823502629999999,0.566414887,2,018025,018020,,,
20,M,23,Spain,Bachelor/uni_degree,1.629135693,1.021853355,-0.3893433189999999,-1.147278512,-1.567907406,5,020150,020149,020025,018020,020090
23,F,28,Ecuador,Masters_degree,0.367106742,-0.7361864859999999,-0.705556672,0.6276019039999999,-0.814617185,2,023102,023191,,,
25,F,42,Venezuela,Bachelor/uni_degree,1.94464293,1.021853355,1.507936797,0.450113862,-1.191262295,4,020025,018025,025157,025044,
27,F,63,Venezuela,Bachelor/uni_degree,1.786889311,1.157087189,0.559296739,0.6276019039999999,0.566414887,5,027076,027113,027154,027118,017027
30,F,28,Chile,Masters_degree,0.051599505,0.075216517,0.717403415,-0.2598383039999999,-0.1868753339999999,3,030082,030078,030079,,
34,F,27,Chile,Masters_degree,0.367106742,0.075216517,-0.231236643,-0.2598383039999999,-0.940165555,5,034133,034035,010034,011034,034121
35,M,36,Chile,Bachelor/uni_degree,0.367106742,0.075216517,-0.705556672,1.515042112,-2.321197627,5,035040,034035,035166,035114,
40,M,23,Spain,Bachelor/uni_degree,-0.106154114,-2.494226327,-1.4960900540000002,0.805089945,0.315318147,2,040090,035040,,,
41,F,58,Spain,Vocational/Training,-0.263907733,0.480918019,-0.547449995,1.692530153,-0.061326964,4,041083,041084,,013041,
42,F,54,Spain,Secondary,-1.999197539,-0.600952652,-0.231236643,-0.2598383039999999,1.194156738,2,042084,042092,,,
43,M,41,Brasil,Masters_degree,-0.421661351,0.7513856870000001,-0.231236643,-0.0823502629999999,-2.572294367,5,,043152,043079,043143,
44,F,40,Brasil,Masters_degree,0.68261398,-1.006654154,1.033616768,0.095137779,0.691963257,5,,044156,025044,,044157
51,M,23,Spain,Bachelor/uni_degree,-0.263907733,1.292321023,0.559296739,0.272625821,-2.195649257,5,,051076,,,051100
55,M,22,Spain,Masters_degree,-0.737168589,-0.87142032,-0.231236643,-2.03471872,-1.191262295,5,,055128,055125,,
58,M,23,Czech Republic,Bachelor/uni_degree,0.251282051,-0.341991342,-0.2875,1.151041667,-0.272030651,2,058110,058059,,,
59,M,25,Czech Republic,Bachelor/uni_degree,-0.133333333,-1.640692641,-0.7041666670000001,-0.541666667,-0.272030651,3,,059134,058059,,
76,M,38,Spain,Doctorate,0.840367599,1.56278869,0.401190063,0.095137779,1.068608368,5,,076122,051076,027076,076143
78,M,32,Venezuela,Masters_degree,1.94464293,-1.006654154,-0.547449995,-1.324766554,-1.316810666,2,030078,078156,,,
79,M,30,Spain,Doctorate,2.1023965490000003,0.480918019,1.191723444,-0.0823502629999999,-0.689068815,5,,079142,043079,030079,079123
82,F,25,Spain,Masters_degree,0.840367599,0.075216517,1.033616768,0.095137779,1.194156738,2,082174,030082,,,
83,F,52,Spain,Vocational/Training,-1.210429445,1.56278869,-0.547449995,1.33755407,-0.563520445,1,041083,,,,
84,M,64,Spain,Secondary,-1.84144392,-0.87142032,-1.4960900540000002,-2.922158928,-0.3124237039999999,2,042084,041084,,,
90,M,24,Spain,Masters_degree,0.68261398,-0.0600173159999999,0.08497671,-0.792302429,0.064221406,2,020090,040090,,,
92,M,32,Chile,Bachelor/uni_degree,-1.525936683,0.345684185,-0.231236643,-0.792302429,-1.191262295,5,092107,042092,092096,092108,092168
96,M,25,Uruguay,Bachelor/uni_degree,2.1023965490000003,1.4275548569999998,1.6660434730000002,0.805089945,-2.321197627,2,004096,092096,,,
97,F,75,Spain,Vocational/Training,0.051599505,2.374191694,0.717403415,1.33755407,-1.693455776,2,097098,097142,,,
98,M,75,Spain,Primary,0.2093531239999999,1.157087189,1.6660434730000002,1.870018195,-0.563520445,2,097098,098126,,,
100,M,26,Spain,Bachelor/uni_degree,0.840367599,-0.7361864859999999,0.559296739,0.6276019039999999,-0.437972074,4,,,100116,051100,
101,M,25,Spain,Masters_degree,2.260150168,1.833256358,0.8755100920000001,1.692530153,-0.1868753339999999,2,101116,101139,,,
102,F,26,Spain,Masters_degree,0.998121218,-0.0600173159999999,0.401190063,1.33755407,-0.940165555,3,102176,102173,023102,,
106,M,33,Mexico,Masters_degree,-0.737168589,0.075216517,-0.547449995,-0.792302429,0.440866517,5,009106,106108,106148,106173,
107,M,25,Kuwait,Masters_degree,0.635897436,1.064935065,0.754166667,-0.151041667,0.111111111,2,092107,,,,
108,M,26,Mexico,Masters_degree,-1.525936683,-1.277121822,-2.128516759,0.450113862,0.817511627,2,106108,092108,,,
110,M,33,Spain,Masters_degree,0.892307692,-1.532467532,0.9625,0.239583333,-0.4636015329999999,2,058110,110136,,,
112,M,23,Spain,Masters_degree,-0.263907733,0.210450351,-0.231236643,-0.0823502629999999,-1.191262295,3,112132,112113,,,
113,F,19,Spain,Secondary,-0.421661351,1.698022524,0.559296739,-0.0823502629999999,0.064221406,4,113132,112113,,027113,
114,M,27,Spain,Masters_degree,0.998121218,-1.5475894890000002,-1.65419673,-0.2598383039999999,-1.191262295,4,114166,035114,,,
115,M,31,Romania,Doctorate,0.68261398,-0.0600173159999999,0.08497671,-2.212206761,-0.437972074,5,004115,,,115175,
116,M,29,Spain,Vocational/Training,0.998121218,0.886619521,1.033616768,0.272625821,-1.065713925,2,100116,101116,,,
118,F,23,Spain,Bachelor/uni_degree,1.629135693,-2.223758659,0.717403415,-0.2598383039999999,1.947446959,5,,118125,,118154,027118
121,F,21,Spain,Bachelor/uni_degree,1.155874836,-0.600952652,0.08497671,-0.437326346,0.315318147,1,034121,,,,
122,M,20,Spain,Secondary,2.1023965490000003,1.157087189,0.08497671,-2.212206761,0.566414887,3,,076122,122144,,
123,M,21,Spain,Bachelor/uni_degree,1.94464293,-1.141887988,0.401190063,-0.614814387,-2.321197627,3,079123,,123188,,
125,F,25,Spain,Bachelor/uni_degree,-0.263907733,1.292321023,-1.021770024,0.6276019039999999,-0.061326964,3,,118125,055125,,
126,M,24,Spain,Masters_degree,-0.737168589,-2.088524825,-0.231236643,-0.614814387,-0.940165555,2,015126,098126,,,
127,F,20,Spain,Bachelor/uni_degree,0.367106742,-1.141887988,1.191723444,-0.437326346,0.691963257,4,,127128,127129,127184,
128,F,55,Spain,Masters_degree,-1.999197539,1.157087189,0.401190063,0.095137779,-1.442359036,3,128129,127128,055128,,
129,M,55,Spain,Bachelor/uni_degree,-0.106154114,0.616151853,-1.4960900540000002,-0.614814387,0.315318147,2,128129,127129,,,
132,F,25,Argentina,Vocational/Training,0.367106742,0.075216517,0.559296739,-0.437326346,0.064221406,2,112132,113132,,,
133,M,43,Spain,Doctorate,0.367106742,-0.0600173159999999,-1.4960900540000002,0.095137779,0.566414887,3,015133,034133,,,
134,F,25,Spain,Masters_degree,0.68261398,1.157087189,1.033616768,-1.324766554,0.064221406,5,,059134,,,005134
136,M,41,Brasil,Doctorate,0.2093531239999999,1.292321023,-1.021770024,0.095137779,-1.191262295,2,110136,136175,,,
139,M,22,Spain,Secondary,-0.57941497,-0.0600173159999999,0.243083386,-0.792302429,0.691963257,3,139140,139189,101139,,
140,M,22,Spain,Bachelor/uni_degree,0.2093531239999999,-0.19525115,0.559296739,-1.324766554,1.068608368,5,139140,,,140170,
142,F,29,Spain,Masters_degree,-0.263907733,-1.412355655,-0.863663348,0.095137779,1.194156738,3,,079142,097142,,
143,M,36,Iran,Doctorate,-0.902564103,-0.666666667,-0.9125,-0.020833333,-1.038314176,2,076143,043143,,,
144,M,32,Mexico,Masters_degree,-0.263907733,-0.0600173159999999,-0.863663348,0.272625821,-2.070100887,5,122144,144176,144169,144171,
148,F,25,Spain,Masters_degree,0.840367599,-0.465718818,-0.547449995,0.982577987,-1.316810666,3,148151,106148,,,
149,M,25,Spain,Masters_degree,0.051599505,-0.19525115,-0.863663348,-1.324766554,0.189769776,2,020149,017149,,,
150,F,22,Spain,Bachelor/uni_degree,0.68261398,1.4275548569999998,0.243083386,-0.614814387,0.817511627,2,020150,017150,,,
151,M,26,Spain,Masters_degree,1.629135693,-1.277121822,-1.021770024,1.160066028,0.817511627,5,,,148151,151164,151165
152,F,24,Germany,Masters_degree,0.123076923,0.415584416,0.025,0.239583333,0.01532567,2,043152,152153,,,
153,F,27,Syria,Masters_degree,-0.646153846,1.281385281,0.1291666669999999,1.151041667,-1.134099617,2,152153,006153,,,
154,F,62,Spain,Bachelor/uni_degree,-0.263907733,-0.0600173159999999,-0.231236643,0.095137779,-1.065713925,2,118154,027154,,,
156,M,32,Spain,Doctorate,0.68261398,-1.412355655,-1.65419673,-1.502254595,1.068608368,5,044156,,,078156,156169
157,M,53,Venezuela,Bachelor/uni_degree,-1.525936683,1.833256358,0.08497671,0.805089945,-0.563520445,3,,025157,044157,,
164,M,22,Spain,Secondary,-1.683690301,-1.953290991,-3.5514768460000004,-1.147278512,0.566414887,2,164165,151164,,,
165,F,58,Spain,Bachelor/uni_degree,-2.314704776,1.157087189,-2.128516759,-0.0823502629999999,0.817511627,2,164165,151165,,,
166,F,24,Spain,Masters_degree,2.260150168,-0.0600173159999999,2.456576855,-0.2598383039999999,1.821898589,2,035166,114166,,,
167,F,37,Chile,Doctorate,-0.894922208,1.968490192,-0.0731299659999999,0.6276019039999999,-1.191262295,2,009167,167168,,,
168,M,38,Spain,Bachelor/uni_degree,-1.052675826,-0.600952652,1.191723444,-0.614814387,-1.944552516,2,167168,092168,,,
169,F,31,Spain,Bachelor/uni_degree,0.051599505,0.480918019,-0.231236643,-1.147278512,0.189769776,3,144169,156169,169171,,
170,F,44,Venezuela,Vocational/Training,0.68261398,1.157087189,1.507936797,1.33755407,-1.065713925,2,,140170,,,
171,F,33,Venezuela,Masters_degree,2.1023965490000003,0.7513856870000001,1.349830121,1.692530153,-1.944552516,3,171172,169171,144171,,
172,F,54,Venezuela,Masters_degree,2.260150168,0.210450351,-0.3893433189999999,1.692530153,0.189769776,2,171172,172185,,,
173,F,17,Spain,Vocational/Training,0.367106742,0.345684185,0.717403415,0.982577987,-0.814617185,4,173176,102173,106173,173179,
174,M,24,Argentina,Masters_degree,0.998121218,-0.330484984,0.717403415,-1.324766554,-0.3124237039999999,1,082174,,,,
175,M,55,Morocco,Doctorate,0.123076923,1.064935065,0.5458333329999999,0.109375,-1.038314176,2,136175,115175,,,
176,F,18,Spain,Upper_secondary,-0.57941497,-1.412355655,-0.547449995,0.6276019039999999,0.817511627,3,173176,144176,102176,,
179,F,55,Spain,Secondary,1.629135693,1.833256358,1.033616768,2.047506236,-0.689068815,1,173179,,,,
184,F,57,Spain,Bachelor/uni_degree,0.051599505,0.7513856870000001,0.401190063,0.095137779,-0.061326964,2,184185,127184,,,
185,M,59,Spain,Masters_degree,-0.894922208,1.157087189,-0.705556672,0.272625821,-1.191262295,2,184185,172185,,,
188,M,28,Spain,Masters_degree,0.68261398,0.075216517,0.08497671,-0.437326346,-1.316810666,2,188189,123188,,,
189,M,31,Spain,Upper_secondary,0.051599505,-0.7361864859999999,0.8755100920000001,-0.792302429,-0.563520445,2,188189,139189,,,
191,M,21,Spain,Secondary,0.840367599,0.345684185,0.401190063,0.805089945,-2.948939478,2,023191,191192,,,
192,M,21,Peru,Vocational/Training,-0.737168589,-0.87142032,-0.705556672,0.272625821,0.943059997,1,191192,,,,
